STREET_NAME_ENG,STREET_NAME_CHI,METER_NONMETER,CAPACITY,VEHICLE_TYPE_DESCRIPTION_1,VEHICLE_TYPE_DESCRIPTION_2,PARK_METER_PERIOD_DESC,OPERATIVE_HOUR_ENG,OPERATIVE_HOUR_CHI,IRNP_REMARKS_ENG,IRNP_REMARKS_CHI,X_COOR,Y_COOR,LAST_UPDATE_DATE,FEATUREID
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811091,809887,6/9/2019 13:00:00,34
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811093,809887,6/9/2019 13:00:00,35
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811096,809888,6/9/2019 13:00:00,36
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811098,809889,6/9/2019 13:00:00,37
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811101,809889,6/9/2019 13:00:00,38
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811103,809890,6/9/2019 13:00:00,39
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811105,809890,6/9/2019 13:00:00,40
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811108,809891,6/9/2019 13:00:00,41
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811110,809892,6/9/2019 13:00:00,42
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811113,809892,6/9/2019 13:00:00,43
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811116,809893,6/9/2019 13:00:00,44
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811118,809894,6/9/2019 13:00:00,45
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811121,809894,6/9/2019 13:00:00,46
SOUTH LANTAU ROAD,嶼南道,N,1,Any Vehicles,,,,,,,811123,809895,6/9/2019 13:00:00,47
KING FUNG PATH,景峰徑,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,816063,829439,6/9/2019 13:00:00,48
SHUN HING STREET,順興街,N,1,Any Vehicles,,,,,,,841187,845034,6/9/2019 13:00:00,49
SHUN HING STREET,順興街,N,1,Any Vehicles,,,,,,,841188,845032,6/9/2019 13:00:00,50
SHUN HING STREET,順興街,N,1,Any Vehicles,,,,,,,841190,845029,6/9/2019 13:00:00,51
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836962,814378,6/9/2019 13:00:00,52
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836962,814379,6/9/2019 13:00:00,53
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836963,814380,6/9/2019 13:00:00,54
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836963,814381,6/9/2019 13:00:00,55
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836963,814382,6/9/2019 13:00:00,56
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836964,814383,6/9/2019 13:00:00,57
VILLAGE ROAD,山村道,N,1,Motor Cycles,,,,,,,836964,814384,6/9/2019 13:00:00,58
WANG TAK STREET,宏德街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,836972,814384,6/9/2019 13:00:00,61
WANG TAK STREET,宏德街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,836975,814380,6/9/2019 13:00:00,62
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834712,842620,6/9/2019 13:00:00,63
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834713,842618,6/9/2019 13:00:00,64
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834715,842616,6/9/2019 13:00:00,65
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834716,842614,6/9/2019 13:00:00,66
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834718,842612,6/9/2019 13:00:00,67
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834710,842721,6/9/2019 13:00:00,68
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834708,842720,6/9/2019 13:00:00,69
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834706,842719,6/9/2019 13:00:00,70
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834703,842718,6/9/2019 13:00:00,71
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834701,842716,6/9/2019 13:00:00,72
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834699,842715,6/9/2019 13:00:00,73
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834696,842714,6/9/2019 13:00:00,74
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834692,842700,6/9/2019 13:00:00,75
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834694,842701,6/9/2019 13:00:00,76
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834697,842702,6/9/2019 13:00:00,77
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834699,842703,6/9/2019 13:00:00,79
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834701,842705,6/9/2019 13:00:00,80
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834704,842706,6/9/2019 13:00:00,81
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834706,842707,6/9/2019 13:00:00,82
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834708,842708,6/9/2019 13:00:00,83
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834710,842709,6/9/2019 13:00:00,84
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834713,842710,6/9/2019 13:00:00,85
NG CHOW ROAD,五洲路,N,1,Any Vehicles,,,,,,,834715,842711,6/9/2019 13:00:00,86
NG CHOW SOUTH ROAD,五洲南路,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,834574,842777,6/9/2019 13:00:00,87
NG CHOW SOUTH ROAD,五洲南路,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,834576,842779,6/9/2019 13:00:00,88
NG CHOW SOUTH ROAD,五洲南路,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,834578,842781,6/9/2019 13:00:00,89
NG CHOW SOUTH ROAD,五洲南路,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,834580,842783,6/9/2019 13:00:00,90
NG CHOW SOUTH ROAD,五洲南路,M,1,Any Vehicles,,2 Hr,8am to 8pm daily except general holidays On general holidays 10am to 10pm,除公眾假期外每日收費由上午八時至下午八時 公眾假期收費則由上午十時至下午十時,,,834582,842784,6/9/2019 13:00:00,91
